q=0.8,q=1,q=1.4
-0.04991482185990037,0.008448585521328766,0.1057658763963687
-0.06034403299534574,-0.002643189233815235,0.0990042420659023
-0.05838989386283089,-0.007149862297197274,0.06535543636510965
-0.0591281166226878,-0.005272141651602169,0.062350189866229755
-0.0674728492040444,-0.009848863619886572,0.06619018001637045
-0.06529376461931236,-0.00830103577447261,0.057530937136270666
-0.06227000972585728,-0.007050199227172982,0.05742614826510817
-0.06083678785068969,-0.005625401736956803,0.057893487407049804
-0.06479011339826712,-0.00907628814625383,0.056180667532579776
-0.06676540822478927,-0.011780991206727265,0.054500340143491144
-0.07162239033640816,-0.016360867466886475,0.04713527278637031
-0.07473900213145157,-0.018161521285641413,0.04787187943333748
-0.07270802578297264,-0.01611377477456699,0.050247767597305426
-0.07472373996580473,-0.020007230950199073,0.04013729921517495
-0.07839312275621779,-0.024941729291214187,0.03481993069429734
-0.07839757119391066,-0.02438262756817977,0.03431446218939982
-0.07751522952197121,-0.024389117194481003,0.03328650601473271
-0.07445245050248417,-0.0229525946423621,0.03340783169161199
-0.07512906593182578,-0.02343375316888796,0.03472473904527362
-0.07618190697231597,-0.024837970265799925,0.031308942373023285
-0.0760355484941897,-0.02427808987174984,0.029190004501359113
-0.0749485840567985,-0.024819672820527217,0.026317149337820922
-0.07491011600670561,-0.025037363981454064,0.024682317182694646
-0.07544870954465921,-0.023909167632048423,0.027889854892208632
-0.07616380143761603,-0.02471129551757656,0.025812567926230656
-0.07458903534639916,-0.023669695740629493,0.02567031764622385
-0.07329561738455936,-0.023382817974024306,0.023438524533695215
-0.07236448069028256,-0.02339879700016212,0.021425743107315043
-0.07281164028729847,-0.023355472784082565,0.022102795561728783
-0.07370348583994968,-0.024122482095215503,0.02165181976570807
-0.0722227664806141,-0.022636611842756338,0.023345430471351847
-0.07400984271385624,-0.024217429582762406,0.020665267927554964
-0.07474355065887295,-0.023979924963889232,0.022388410859534247
-0.07555816269056237,-0.025442497089393612,0.021046657553306147
-0.07556742059069421,-0.025771881724502066,0.017820851014725747
-0.07555061455348522,-0.026339191847242205,0.01614040811745099
-0.07541632657040509,-0.025695301213850996,0.01649985363834361
-0.07559284340683803,-0.026154245546955224,0.01433619027531563
-0.07488974164569129,-0.025190746191242397,0.014860646897723484
-0.07474866269515701,-0.025072249411607572,0.015955034649159927
-0.07487344010571206,-0.02434846469727603,0.016353899056632315
-0.07729341250231414,-0.026481089764111232,0.014701577214587758
-0.07847440238796821,-0.02726023067950223,0.01577935462573521
-0.0789122690862385,-0.027319474284141165,0.01552644546343629
-0.07853977115880895,-0.02733045602991524,0.014307594972663651
-0.07861435058305233,-0.027245015018451113,0.015442666307620811
