q=0.8,q=1,q=1.4
-0.265051743720079,-0.06712669998805154,-0.08182943950407662
-0.32505406924849467,-0.06719219694451795,-0.07747327968706941
-0.3092028859595928,-0.06922291038537765,-0.09388730716628402
-0.30510087199610325,-0.0709346790081895,-0.0909710857535515
-0.27488338478974583,-0.06854762206606324,-0.08168274610051185
-0.3473890427051174,-0.06570550344065396,-0.0771014427655814
-0.2992571058161104,-0.061501124146388975,-0.07169784757115849
-0.315586330899265,-0.057087844232881935,-0.06515587999160743
-0.2697636688308762,-0.05884808766052174,-0.07105456573677316
-0.27896935448950444,-0.05950304317812538,-0.07211417429184053
-0.2852157139080873,-0.06075258548429474,-0.07653098770930455
-0.2937401936602271,-0.06448120567353044,-0.08617247294543517
-0.2862131842703377,-0.060229986823884474,-0.08043530613352345
-0.2827673821062149,-0.05932553610409741,-0.07723173883249501
-0.3118303066914052,-0.05909976729202526,-0.0710645529794931
-0.30794178404681816,-0.05612969991923933,-0.06964300614177432
-0.3206849550664117,-0.05773957717110534,-0.06265620534705363
-0.324897456936867,-0.05870555392732513,-0.07490229924323444
-0.2797786499753556,-0.058232818923698915,-0.07350776441631979
-0.2718539446433681,-0.05747500150110341,-0.07256966541194743
-0.3007796791544024,-0.05510454316436153,-0.06077498541176851
-0.3035681368733947,-0.055035952548337264,-0.06458718021158916
-0.3141796614159489,-0.055455904541645396,-0.06965102314964611
-0.3160343126494638,-0.05431673518870639,-0.06085630805782216
-0.32112425006451417,-0.05801266513051928,-0.06833744668466579
-0.3187822818420898,-0.05556715948725355,-0.07246466644758698
-0.3116815521433125,-0.05614361743067775,-0.07124264334893837
-0.30472409592783833,-0.05300876832509971,-0.06451720527323346
-0.2999318718080701,-0.0526534467454951,-0.07467541281084777
-0.2980365007420289,-0.05478873697694553,-0.0803325260820884
-0.2913599093175776,-0.05451306580968662,-0.07971250456103007
-0.2951201494389011,-0.05284245221335482,-0.07488967976334493
-0.29683334435944175,-0.05341760190538025,-0.07471620447847727
-0.29372895900493745,-0.052969769917837084,-0.07883587613105192
-0.2834802932989078,-0.052353609619757435,-0.08205119698010321
-0.286354966635713,-0.05279147987013744,-0.07620452196024985
-0.2930774492768933,-0.05061708038564916,-0.06667830366262706
-0.29377385505313214,-0.05156354377373873,-0.0608603246992061
-0.2837429592371734,-0.0503906584276308,-0.06003244731601853
-0.2825507609548481,-0.050621118581261726,-0.06304388404760175
-0.2803789836173394,-0.050494216578300666,-0.06079330952056239
-0.2829483429314621,-0.04910566897768831,-0.05982046157268428
-0.28991399404415574,-0.049021116282489174,-0.06087895890422601
-0.2781746935268927,-0.04814125597826546,-0.058750999065267706
-0.27896217690590674,-0.04880411518004735,-0.05840867111993475
-0.27085411974783824,-0.04949732950734642,-0.0640259180584053
