q=0.8,q=1,q=1.4
-0.049743435833420335,0.005260809229184815,0.01845493242598195
-0.046938473141807435,-0.0056387676793292485,-0.047245539773257406
-0.047644106884860093,-0.005319674167338917,-0.056174087332436784
-0.05362265632797403,-0.005867407445492745,0.005485078703458157
-0.03442977655777213,-0.003682670047624015,-0.023636198916875628
-0.037452822980355904,-0.0044966429022395005,-0.05020843324510338
-0.044512825846169335,-0.009863559500871588,-0.028864130070303418
-0.05001642973917342,-0.005702969744959319,-0.006839880041667357
-0.05477203274375597,-0.005314145250167712,-0.016867049658173983
-0.038942725709006254,-0.005482681664148004,-0.012256302084153958
-0.03785402992397735,-0.014510176817935871,-0.019085056195024208
-0.044431984799189195,-0.011397052065660773,-0.017682531578230964
-0.04503409414249404,-0.014298101202541602,-0.036594102763672254
-0.0480714943412579,-0.014105663563015014,-0.006016678744487081
-0.04796268412610516,-0.010745001045108893,-0.01664690693735338
-0.04824876386476262,-0.003901830165858655,0.02467047105056963
-0.037437238322922894,-0.006919205124432892,-0.03497883937981783
-0.044529242622729726,-0.007751858308978399,-0.025776096642289303
-0.048404570019812354,-0.007763394064426166,-0.032429458647214915
-0.045739460375187946,-0.0056725073432062345,0.011610704090202262
-0.04609885827184712,-0.008543740709740177,-0.01246586337140343
-0.045497884757168094,-0.007291758567220086,-0.03301093700861202
-0.03901260910021165,-0.012124249519530395,0.01662992132355612
-0.040708362230219564,-0.012792896042128632,-0.008406742200293138
-0.04674902509970025,-0.010415744932714688,-0.025851889769910485
-0.047269453089427316,-0.006322960149759638,-0.019415673924584098
-0.045360345482691855,-0.007623386201629501,-0.022132721496745944
-0.05094681405677193,-0.006038802275469379,-0.008808177037565201
-0.045975383042474505,-0.008960562067358069,-0.01283892440579848
-0.04203606154010231,-0.00935680861132937,-0.00039009483577956416
-0.041332293160650124,-0.008396005655015415,-0.03793753590940696
-0.044828394608259714,-0.010723820022178643,-0.02620994358937878
-0.04553437771326685,-0.009064453863800281,-0.007177233513118608
-0.04413057491288441,-0.010279759312282977,-0.018465646562475513
-0.04470554005564509,-0.01026062319752441,-0.010706473855236709
-0.04618350539487892,-0.010346590939349198,-0.01908228717519478
-0.04681859374341002,-0.012100110019844124,-0.010335093827620767
-0.043867037976440315,-0.012582104988069887,-0.0158191370036036
-0.04396983047865888,-0.011317640262319628,0.007849689527489545
-0.040509551646948694,-0.007683770936637302,-0.005597494902559674
-0.04171458134177897,-0.011136057924829856,0.0038000021177424514
-0.04245766319436939,-0.00887388316695592,0.0018299104308709957
-0.04177052602767617,-0.014123029846416557,0.003128718051868873
-0.04195432355160733,-0.011384482700464105,0.00955719325460791
-0.05019231814233649,-0.010200522945979174,-0.017211314100308073
-0.041277378262094544,-0.011293661377635544,-0.02792515302638776
