q=0.8,q=1,q=1.4
-0.08053443144139294,-0.07827043331291605,-0.11512092758218984
-0.11678205460573565,-0.09465502431763895,-0.13453832180174174
-0.10445272080937684,-0.09556487481539477,-0.09099643101551891
-0.10128675955716915,-0.10186652190480316,-0.14507056554276687
-0.11353703966672413,-0.1167974427420333,-0.14910496445443755
-0.10740536468970419,-0.11476736816393185,-0.13881529864974596
-0.14052129593275708,-0.11726018506143276,-0.1610705269625683
-0.12038116613428684,-0.11785181772177111,-0.14334028455238723
-0.13035812118713608,-0.11920512770400649,-0.20042602608341298
-0.1375650315519792,-0.11478779187191179,-0.21269258302094585
-0.12712566996327723,-0.12104434130006325,-0.16532045745410073
-0.11569224860932792,-0.12629647344898132,-0.19021089751900178
-0.12844074694159247,-0.1290316387226227,-0.2005785569102585
-0.12191644577321625,-0.11575731055275185,-0.16067088767012905
-0.12996668260910127,-0.12214271976043989,-0.14979491044044835
-0.13829903714166392,-0.13147260856392506,-0.1901666635890109
-0.13770542237975292,-0.13284027503122786,-0.17136660498904632
-0.14306239645579666,-0.13501688871216544,-0.19605407649807205
-0.14256221107880407,-0.1323874860197094,-0.20351664508603307
-0.13191034275412505,-0.14070054811708843,-0.17725441611759152
-0.14276158479079015,-0.1365538530053385,-0.191204353466766
-0.14361601467617646,-0.1396048286233622,-0.17462710802782766
-0.137570663100675,-0.13995637892627855,-0.1757722996058675
-0.143795582026911,-0.13938229539191838,-0.1821218017206121
-0.1592599851110421,-0.13878676091147213,-0.16576175340708943
-0.14967092650016411,-0.14346395256067268,-0.1866391534006624
-0.15444535143542026,-0.14523975935857436,-0.1803392738948304
-0.14995301576060172,-0.14174033732248148,-0.19961131678791588
-0.15415366191550817,-0.1417413377365193,-0.16194872501709767
-0.15019859612533537,-0.14005716133009827,-0.1848743850206347
-0.14600466795641864,-0.15146672768273817,-0.21734829697644642
-0.14122668944229844,-0.15162437316520538,-0.178666292702637
-0.1587159935399569,-0.14923334905063967,-0.2309151860842178
-0.16609446601500366,-0.15437322628369543,-0.21290436250983902
-0.1499533813566174,-0.14443779447550043,-0.205689911140567
-0.1634577350437212,-0.1521492703045766,-0.1881324752803124
-0.15434910614554553,-0.15681908545799672,-0.20428406166793422
-0.14804693407332792,-0.15748237486332073,-0.24352391189459865
-0.15760221118948436,-0.15466918533005725,-0.22846929639009517
-0.15319774479935688,-0.154721891723824,-0.17561007056065847
-0.16245969048967623,-0.15367899428375154,-0.2146435309685586
-0.14676073126803857,-0.15118317686236793,-0.2066984857274008
-0.15321000546818908,-0.1567609792662381,-0.1907345150222568
-0.15060033071056012,-0.16001798326922767,-0.20097520669339275
-0.15347714997238882,-0.15863531519111973,-0.18566218199721618
-0.1532944188755394,-0.15394541957671493,-0.1807615677109169
