m,mean ERTE,std ERTE
5,0.0019566044659171666,0.0
10,0.002975031587823196,0.0
15,0.0040389575885910745,0.0
20,0.0066914130503334945,0.0
25,0.008093033682314399,0.0
30,0.008577442174214411,0.0
35,0.011929309394076881,0.0
40,0.012879169000029833,0.0
45,0.012882449662413364,0.0
50,0.014561248952929873,0.0
55,0.01347441530379001,0.0
60,0.011019192948765522,0.0
65,0.014643981943208928,0.0
