m,mean ERTE,std ERTE
1,-0.17472367838950595,0.007967548203493017
5,-0.06523796265052322,0.004877419788108494
10,-0.08640408979182723,0.0009536851543499276
15,-0.061075012605869006,0.0012873670533246854
20,-0.04871910561192294,0.002238652983629609
25,-0.0211342733112095,0.01669203617080558
30,-0.039560297680196754,0.0017258267170194854
35,-0.05158865821467392,0.0027522216445081
40,-0.07694441321876866,0.003706544022175303
45,-0.08292915144257525,0.0008088325072435166
50,-0.0924211262853305,0.0033566323768045763
55,-0.10954230316133362,0.0024784133595849565
60,-0.14605141161752044,0.0052603358304763835
65,-0.10914400323707696,0.06587725574233234
